,Unnamed: 0,nid,title,price,ps_sort,price_section,sales,comments,isFee,isTmall,province,city,storeName,detailUrl
0,0,607286310296,2送1天然维生素E软胶囊ve维e内服外用面部外涂脸脸部油搭c片含片,39.9,0,"(0,50]",100000,241933,是,是,上海,上海,众久旗舰店,//detail.tmall.com/item.htm?id=607286310296&ns=1&abbucket=10
1,1,16248578021,100片康恩贝维生素C咀嚼片vc片维他命c含片成人男女高含量维c搭ve,19.9,0,"(0,50]",70000,229136,是,是,浙江,金华,康恩贝官方旗舰店,//detail.tmall.com/item.htm?id=16248578021&ns=1&abbucket=10
2,2,610694979400,修正牌维生素E软胶囊ve内服外用面部外涂脸部维e油搭VC维生素C,29.9,0,"(0,50]",55000,25549,是,是,浙江,金华,希希林保健品专营店,//detail.tmall.com/item.htm?id=610694979400&ns=1&abbucket=10
3,3,596926979654,汤臣倍健天然博士维生素c儿童咀嚼片非泡腾vc含片成人针叶樱桃粉,49.9,0,"(0,50]",40000,42637,是,是,广东,佛山,天然博士旗舰店,//detail.tmall.com/item.htm?id=596926979654&ns=1&abbucket=10
4,4,586808222995,买2送1买3送2修正牌维生素E软胶囊ve维e内服外用面部外涂脸脸部,39.9,0,"(0,50]",35000,248627,是,是,浙江,杭州,修正官方旗舰店,//detail.tmall.com/item.htm?id=586808222995&ns=1&abbucket=10
5,5,541461689922,3盒】星鲨维生素D滴剂(胶囊型)24粒补钙维生素D佝偻病官方婴儿钙,108.0,2,"(100,150]",30000,128963,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=541461689922&ns=1&abbucket=10
6,6,610410489088,江中液体钙维生素d3成人碳酸钙中老年女性儿童男青年补钙片青少年,49.9,0,"(0,50]",30000,48255,是,是,浙江,金华,康合森保健品专营店,//detail.tmall.com/item.htm?id=610410489088&ns=1&abbucket=10
7,7,584518631283,买2送天然VE】黄金搭档维生素C含片100片VC维C咀嚼片维他命C女男,18.9,0,"(0,50]",25000,214737,是,是,江苏,无锡,黄金搭档官方旗舰店,//detail.tmall.com/item.htm?id=584518631283&ns=1&abbucket=10
8,8,620395384553,买2送1维生素E软胶囊ve维e胶囊油外用面部外涂痘印色斑脸部搭c片,19.9,0,"(0,50]",25000,10808,是,是,浙江,杭州,newliann纽利安旗舰店,//detail.tmall.com/item.htm?id=620395384553&ns=1&abbucket=10
9,9,538366041025,21金维他多维元素片100片复合维生素B b6 b1 b2维生素c钙铁锌21,66.0,1,"(50,100]",20000,77980,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=538366041025&ns=1&abbucket=10
10,10,543557093930,汤臣倍健褪黑素安瓶助改善失眠安深度睡眠片神退腿褪黑色素片定眠,86.0,1,"(50,100]",20000,80598,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=543557093930&ns=1&abbucket=10
11,11,612632031478,拍2发3】朗迪氨糖软骨碳酸钙维生素d3片加补钙片成人男女性青年,55.8,1,"(50,100]",20000,63323,是,是,浙江,金华,朗迪保健品旗舰店,//detail.tmall.com/item.htm?id=612632031478&ns=1&abbucket=10
12,12,41353784171,汤臣倍健液体钙片碳酸钙中老年成年女性青少年维生素d3官方旗舰店,94.0,1,"(50,100]",20000,149538,是,是,江苏,南京,汤臣倍健佰健专卖店,//detail.tmall.com/item.htm?id=41353784171&ns=1&abbucket=10
13,13,607216048992,买2送1 维生素C维C咀嚼片C含片维他命VC糖果香橙味男女性搭VE,9.9,0,"(0,50]",15000,77189,是,是,上海,上海,众久旗舰店,//detail.tmall.com/item.htm?id=607216048992&ns=1&abbucket=10
14,14,545272473579,汤臣倍健液体钙片碳酸钙中老年成年女性青少年维生素d3官方旗舰店,94.0,1,"(50,100]",15000,40705,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=545272473579&ns=1&abbucket=10
15,15,593422855591,3盒】星鲨维生素D滴剂(胶囊型)36粒预防补钙佝偻病婴幼儿童鲨星d3,162.0,3,"(150,200]",15000,20318,是,是,广东,广州,阿里健康大药房,//detail.tmall.com/item.htm?id=593422855591&ns=1&abbucket=10
